vocab,kana,English definition
アニメ,,animation
小説,しょうせつ,novel
趣味,しゅみ,hobby; pastime
月,つき,moon
宇宙人,うちゅうじん,space alien
扇子,せんす,(hand) fan
スニーカー,,sneakers
ヘッドホン,,headphones
おにぎり,,rice ball
あちら,,that way (polite)
係の者,かかりのもの,our person in charge
お宅,おたく,(someone's) house/home
～屋,～や,...shop
支店,してん,branch office
ドイツ,,Germany
信号,しんごう,traffic light
角,かど,corner
字,じ,letter; character
音,おと,sound
重い,おもい,heavy; serious (illness)
軽い,がるい,light
不思議,ふしぎ（な）,mysterious
おる,,extra-modest expression for いる
参る,まいる,extra-modest expression for いく and くる
申す,もうす,extra-modest expression for いう
致す,いたす,extra-modest expression for する
頂く,いただく,extra-modest exp. for たべる and のむ/humble exp. for もらう
ござる,,extra-modest expression for ある
～でござる,,extra-modest expression for です
伺う,うかがう,(1) to humbly visit (place に); (2) to humbly ask (person に)
曲がる,まがる,to turn (right/left) (corner を direction に)
戻る,もどる,to return; to come back (～に)
差し上げる,さしあげる,humble expression for あげる
聞こえる,きこえる,to be audible (～が)
伝える,つたえる,to convey message (person に)
待たせる,またせる,to keep (someone) waiting (～を)
続ける,つづける,to continue (～を)
交換する,こうかんする,to exchange (X と Y を)
返品する,へんぴんする,to return (merchandise) (～を)
生活する,せいかつする,to lead a life
～階,～かい,...th floor
一階,いっかい,first floor
～みたいなX,,X like...
また,,again
では,,well then (polite)
できれば,,if possible
誠に,まことに,really (very polite)
よろしかったら,,if it is okay (polite)
かしこまりました,,Certainly.
失礼しました,しつれいしました,I'm very sorry.
申し訳ありません,もうしわけありません,You have my apologies.


～ておる,,extra-modest expression for ～ている
お茶,おちゃ,Japanese tea
禁止する,きんしする,to prohibit
一枚,いちまい,one sheet
枚数,まいすう,number of flat things
三両,さんりょう,Three ryoo
両手,りょうて,both hands
無料,むりょう,free of charge
笑顔,えがお,smile; smiling face
軽い,かるい,light
皿,さら,plate; dish
紙皿,かみざら,paper plate
灰皿,はいざら,ashtray
声,こえ,voice
音声学,おんせいがく,phonetics
擬声語,ぎせいご,onomatopoeia
声優,せいゆう,voice actor
茶店,ちゃみせ,teahouse
茶色,ちゃいろ,brown
喫茶店,きっさてん,cafe
止まる,とまる,(something) stops
中止する,ちゅうしする,to cancel
両替,りょうがえ,exchange
両方,りょうほう,both sides
無駄な,むだな,wasteful
無礼な,ぶれいな,rude
無い,ない,there is no...
払う,はらう,to pay
支払い,しはらい,payment
払い戻し,はらいもどし,refund
分割払い,ぶんかつばらい,payment in installments
心,こころ,heart; mind
心配する,しんぱいする,to worry
熱心な,ねっしんな,enthusiastic
安心な,あんしんな,safe
好奇心,こうきしん,curiosity
微笑む,ほほえむ,to smile
爆笑する,ばくしょうする,to burst into laughter
絶える,たえる,to die out
絶滅,ぜつめつ,extinction
気絶する,きぜつする,to faint
絶望,ぜつぼう,despair
反対する,はんたいする,to oppose
日本対中国,にほんたいちゅうごく,Japan versus China
一対,いっつい,a pair
痛い,いたい,painful
痛み止め,いたみどめ,painkiller
頭痛,ずつう,headache
腹痛,ふくつう,stomachache
腰痛,ようつう,lower back pain
最高,さいこう,the best
最新,さいしん,the latest
最後に,さいごに,lastly
最も,もっとも,most
続ける,つづける,to continue
手続き,てつづき,procedure
相続する,そうぞくする,to inherit
連続ドラマ,れんぞくドラマ,serial TV drama
